[2015-09-28 08:55:09,614] <launcher-ui> INFO  launcher - Initializing UniFi Controller ...
[2015-09-28 08:55:09,893] <launcher-monitor> INFO  launcher - Starting UniFi Controller ...
[2015-09-28 08:55:09,896] <unifi-monitor> INFO  launcher - service_loop()
[2015-09-28 08:55:43,028] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:44,030] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:45,031] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:46,036] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:47,039] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:48,043] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:49,049] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:50,047] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:51,047] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:52,051] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:53,051] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:54,057] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:55,063] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:56,061] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:57,068] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:58,068] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:55:59,073] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:00,075] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:01,079] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:02,083] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:03,080] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:04,086] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:05,089] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:06,093] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:07,098] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:08,099] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:09,100] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:10,107] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:11,114] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:12,110] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:13,117] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
[2015-09-28 08:56:14,118] <UniFi> ERROR system - [exec] error, rc=1, output=Error: Unable to access jarfile /Users/jlecour/Sandbox/jlecour/elixir-getting-started/kv/lib/ace.jar
